S-10B
S-16D Kaldi 7 27.586206896551722 S:15, I:1, D:0
S-16D Google 8 26.119402985074625 S:14, I:0, D:21
S-16D Kaldi 8 17.91044776119403 S:16, I:1, D:7
S-16D Google 9 43.75 S:2, I:0, D:12
S-16D Kaldi 9 40.625 S:12, I:0, D:1
S-16D Google 10 33.333333333333336 S:9, I:0, D:5
S-16D Kaldi 10 23.80952380952381 S:8, I:1, D:1
S-16D Google 11 22.22222222222222 S:4, I:0, D:14
S-16D Kaldi 11 22.22222222222222 S:11, I:6, D:1
S-16D Google 12 25.53191489361702 S:3, I:0, D:9
S-16D Kaldi 12 23.404255319148938 S:9, I:2, D:0
S-20D
S-20D Google 0 50.965250965250966 S:61, I:0, D:71
S-20D Kaldi 0 38.996138996138995 S:61, I:7, D:33
S-20D Google 1 40.0 S:70, I:2, D:50
S-20D Kaldi 1 26.229508196721312 S:47, I:6, D:27
S-20D Google 2 46.07843137254902 S:57, I:0, D:84
S-20D Kaldi 2 31.045751633986928 S:66, I:3, D:26
S-20D Google 3 41.228070175438596 S:48, I:1, D:45
S-20D Kaldi 3 38.1578947368421 S:58, I:0, D:29
S-20D Google 4 35.989010989010985 S:145, I:7, D:110
S-20D Kaldi 4 28.15934065934066 S:146, I:18, D:41
S-20D Google 5 39.71291866028708 S:71, I:3, D:92
S-20D Kaldi 5 27.99043062200957 S:76, I:8, D:33
S-20D Google 6 75.0 S:4, I:0, D:23
S-20D Kaldi 6 72.22222222222223 S:20, I:1, D:5
S-20D Google 7 68.75 S:17, I:0, D:16
S-20D Kaldi 7 54.166666666666664 S:23, I:1, D:2
S-20D Google 8 45.45454545454545 S:6, I:0, D:4
S-20D Kaldi 8 31.818181818181817 S:4, I:0, D:3
S-20D Google 9 46.25 S:21, I:2, D:14
S-20D Kaldi 9 53.75 S:27, I:9, D:7
S-20D Google 10 50.98039215686274 S:32, I:0, D:20
S-20D Kaldi 10 45.09803921568628 S:35, I:4, D:7
S-20D Google 11 50.68493150684932 S:26, I:1, D:10
S-20D Kaldi 11 41.0958904109589 S:21, I:4, D:5
S-29A
S-29A Google 0 29.918032786885245 S:29, I:1, D:43
S-29A Kaldi 0 15.573770491803279 S:23, I:2, D:13
S-29A Google 1 29.51388888888889 S:24, I:1, D:60
S-29A Kaldi 1 20.833333333333332 S:32, I:3, D:25
S-29A Google 2 39.93174061433447 S:19, I:0, D:98
S-29A Kaldi 2 17.064846416382252 S:22, I:0, D:28
S-29A Google 3 31.0126582278481 S:33, I:0, D:65
